gr,recn,yearStart,yearEnd
SX77,18,2010,2021
TQ49,6,2018,2022
NY11,10,2019,2019
SU98,6,2012,2021
SD86,8,2013,2022
SS43,6,2015,2019
SW61,19,2013,2022
SO39,12,2010,2018
SD77,14,2010,2022
NT60,10,2013,2022
SU96,2,2012,2021
SU40,3,2011,2019
SE63,18,2013,2020
NY69,1,2018,2018
SE73,11,2013,2020
SE64,22,2013,2020
SW71,5,2013,2022
TQ50,7,2014,2018
SU94,2,2019,2019
SD17,7,2015,2020
NY63,4,2015,2019
TF49,2,2017,2022
SE74,1,2020,2020
TL66,1,2013,2013
SX78,2,2017,2021
SJ81,1,2014,2014
SW72,3,2013,2022
SK17,1,2021,2021
TF62,5,2013,2022
TF48,1,2022,2022
