gr,recn,yearStart,yearEnd
TQ49,16,2018,2022
SU01,37,2010,2019
SU02,22,2010,2019
SO77,8,2014,2020
SX77,14,2010,2021
NY11,34,2019,2019
NY25,11,2012,2021
TF48,5,2013,2022
SK17,90,2012,2021
TF62,9,2018,2022
SO47,9,2017,2021
SU98,20,2012,2021
NU14,36,2012,2017
SD77,113,2010,2022
SU62,51,2012,2021
SJ81,85,2014,2022
SD21,30,2012,2021
SU40,13,2011,2019
SZ49,16,2011,2019
TL28,15,2014,2019
NT60,6,2018,2022
TQ50,52,2011,2018
SX78,1,2013,2013
NU04,21,2012,2017
NY63,19,2015,2019
SD17,20,2015,2020
SE73,5,2013,2020
TF49,6,2013,2022
SW61,17,2013,2022
SD86,13,2013,2022
SD96,5,2013,2022
SO39,14,2010,2018
TQ39,1,2022,2022
SS43,9,2015,2019
SJ30,9,2010,2018
SK09,3,2012,2021
SE89,2,2015,2019
SW71,4,2017,2022
SE63,3,2013,2018
SU94,1,2019,2019
SU96,2,2021,2021
NY10,1,2019,2019
SD31,2,2016,2021
NY69,1,2018,2018
SW72,1,2017,2017
SU93,1,2015,2015
SD20,1,2016,2016
TG31,1,2019,2019
SK19,1,2018,2018
