gr,recn,yearStart,yearEnd
SU01,29,2010,2019
SU02,18,2010,2019
TG31,44,2010,2019
SX77,3,2010,2017
SO77,6,2014,2020
NU14,16,2012,2017
SD86,16,2013,2022
TF49,18,2013,2022
SD21,29,2012,2021
TG41,44,2013,2018
NY63,27,2015,2019
SK17,21,2016,2021
TL66,30,2013,2018
SJ81,69,2014,2022
SW61,28,2013,2022
SE63,27,2013,2020
NY25,17,2017,2021
SE64,21,2013,2020
SZ49,55,2011,2019
SU40,6,2011,2019
TL28,35,2014,2019
TQ49,7,2013,2022
SD96,12,2013,2022
NT60,7,2018,2022
NU04,19,2012,2017
SS43,25,2015,2019
SU62,15,2012,2021
TQ50,20,2018,2018
TF48,4,2013,2022
TL40,1,2022,2022
TQ39,1,2013,2013
SE73,14,2013,2020
TL18,3,2012,2019
SO47,6,2017,2021
NY73,2,2015,2019
SW71,3,2017,2022
SD17,7,2015,2020
SO39,2,2010,2014
SD31,3,2012,2021
SE74,1,2020,2020
NY11,7,2019,2019
NY69,2,2018,2022
SE89,2,2019,2019
SW72,3,2013,2022
SD77,2,2014,2022
TF62,1,2022,2022
TL17,1,2012,2012
SD38,1,2015,2015
