gr,recn,yearStart,yearEnd
SU02,20,2010,2019
SU01,53,2010,2019
SX77,7,2010,2021
NU04,21,2012,2017
NU14,38,2012,2017
NY11,33,2015,2019
SJ81,119,2014,2022
SW61,36,2013,2022
SU62,69,2012,2021
SD21,49,2012,2021
NY25,27,2012,2021
SU40,3,2011,2015
TQ50,32,2011,2018
TQ49,1,2022,2022
SD77,106,2010,2022
SD17,23,2015,2020
SZ49,2,2019,2019
SK17,83,2012,2021
SD96,9,2013,2022
SJ30,4,2010,2018
SD86,34,2013,2022
TF49,6,2013,2022
SD20,7,2012,2021
SD31,2,2016,2021
NY63,9,2015,2019
NT60,10,2013,2022
TL28,8,2014,2019
SE64,4,2013,2018
TF48,9,2013,2022
SO77,4,2020,2020
SS43,4,2015,2019
TG41,5,2013,2018
TG31,6,2010,2019
SO39,11,2010,2018
SE73,8,2013,2020
SK09,3,2012,2021
SW71,3,2013,2022
NY69,2,2018,2022
SW72,1,2022,2022
NY10,2,2015,2019
