gr,recn,yearStart,yearEnd
SU0419,32,2010,2019
SK1674,2,2016,2021
SU6421,24,2012,2021
SU6320,9,2012,2021
SW6617,6,2017,2022
TQ5401,37,2011,2018
SK1774,8,2012,2021
SD7773,4,2010,2022
SD7678,4,2010,2022
SD7774,3,2014,2022
SU0320,5,2010,2019
SX7879,1,2017,2017
SU6420,38,2012,2021
SU0418,6,2010,2019
SU0420,4,2010,2019
SU0518,8,2010,2019
TF4987,6,2013,2022
SD1672,2,2015,2020
SD7874,8,2010,2022
SD7477,9,2010,2022
SW6912,3,2013,2022
SK1772,1,2012,2012
SW6615,1,2022,2022
SK1773,7,2012,2021
TQ5501,4,2014,2018
SK1775,3,2012,2021
SU0519,1,2019,2019
SD7973,4,2010,2022
SD7873,3,2014,2022
SD9066,2,2013,2022
TF4691,3,2013,2022
SK1374,4,2012,2021
SK1373,2,2021,2021
SJ8413,2,2014,2022
TF4791,2,2017,2022
NY1410,1,2019,2019
SJ8313,1,2018,2018
SS4435,1,2019,2019
SW6715,1,2022,2022
SU0319,3,2010,2019
SD1671,2,2015,2020
