gr,recn,yearStart,yearEnd
SU0320,14,2010,2019
SU0518,20,2010,2019
SU0419,26,2010,2019
SS4434,3,2015,2019
SS4437,1,2019,2019
SU0418,10,2010,2019
SU0420,15,2010,2019
SU6320,12,2012,2021
SU6420,34,2012,2021
SS4535,13,2015,2019
SU6421,26,2012,2021
TQ5401,9,2011,2018
SS4536,4,2015,2019
SS4534,6,2015,2019
SS4433,2,2015,2019
TQ5501,2,2018,2018
SU0319,3,2010,2019
SS4533,4,2015,2019
SK1374,4,2016,2021
SD1773,2,2015,2020
TF4987,2,2017,2022
SS4632,3,2015,2019
SU0519,1,2019,2019
SS4435,5,2015,2019
SS4436,1,2019,2019
SS4537,1,2019,2019
