gr,recn,yearStart,yearEnd
SX7878,13,2010,2021
TQ4399,3,2018,2022
SX7778,4,2010,2021
NY1411,1,2019,2019
SU9584,5,2012,2021
SD8966,7,2013,2022
SS4534,1,2019,2019
SW6912,1,2017,2017
SO3698,3,2010,2018
TQ4096,1,2018,2018
TQ4398,2,2018,2022
SD7676,3,2010,2014
NY1412,2,2019,2019
SW6919,1,2022,2022
NT6602,9,2013,2022
SU9765,2,2012,2021
SU4501,3,2011,2019
SE6937,13,2013,2020
SU9585,1,2021,2021
SD7776,1,2010,2010
NT6402,1,2013,2013
SD7773,1,2014,2014
SD7677,1,2014,2014
NY6399,1,2018,2018
SE7036,11,2013,2020
SW6715,4,2017,2022
SE6941,19,2013,2020
SD7971,1,2022,2022
SO3799,9,2010,2018
SW7716,1,2022,2022
TQ5401,7,2014,2018
SD7476,2,2010,2014
SE6939,4,2013,2020
SE6940,3,2020,2020
SU9040,1,2019,2019
NY1610,1,2019,2019
SD1772,3,2015,2020
SD7575,3,2010,2014
SW6813,5,2013,2022
NY6833,2,2015,2019
TF4791,2,2017,2022
SW6915,2,2017,2022
SS4533,4,2015,2019
SE7042,1,2020,2020
SD1771,3,2015,2020
SW7218,2,2013,2022
TL6469,1,2013,2013
SW6814,1,2013,2013
SX7780,2,2017,2021
SW7318,1,2017,2017
SJ8313,1,2014,2014
SD7973,1,2014,2014
NY1410,1,2019,2019
SW6713,3,2013,2017
NY1511,3,2019,2019
SW6615,1,2017,2017
SW7517,1,2017,2017
SD8967,1,2013,2013
SW7321,3,2013,2022
SS4434,1,2019,2019
SK1774,1,2021,2021
SW6714,1,2017,2017
NY1510,1,2019,2019
SU9140,1,2019,2019
SE6936,1,2013,2013
SD7777,1,2014,2014
NY6835,1,2015,2015
TF6628,2,2022,2022
SX7679,1,2010,2010
TF4889,1,2022,2022
SD1672,1,2020,2020
TF6728,1,2013,2013
NY1512,1,2019,2019
TF6729,2,2018,2018
NY6735,1,2015,2015
