gr,recn,yearStart,yearEnd
TQ4195,4,2018,2022
SU0419,8,2010,2019
SU0518,18,2010,2019
TQ4096,3,2018,2022
SU0320,13,2010,2019
SO7577,6,2014,2020
SX7879,2,2017,2021
SX7878,5,2010,2021
SX7778,3,2010,2017
SX7679,3,2010,2021
NY1511,12,2019,2019
NY2756,7,2012,2017
TF4987,3,2013,2022
SK1775,9,2012,2021
TF6829,1,2018,2018
SO4473,4,2017,2021
SO4373,2,2017,2021
SU9584,10,2012,2021
NU1343,16,2012,2017
SD7971,6,2010,2022
SU6421,18,2012,2021
SJ8313,32,2014,2022
SJ8413,39,2014,2022
SD2911,10,2012,2021
SU4501,9,2011,2019
TQ4199,1,2022,2022
SZ4197,10,2011,2019
TL2088,3,2014,2014
NT6401,2,2018,2022
SD7477,12,2010,2022
TL2285,3,2014,2019
SD7776,6,2010,2022
SK1774,17,2012,2021
SD7476,2,2018,2022
SK1773,22,2012,2021
SD7874,12,2010,2022
TF4889,2,2013,2022
TL2283,5,2014,2019
SU4601,3,2011,2019
TQ5401,48,2011,2018
TQ4398,3,2018,2022
TQ4298,2,2018,2022
SU0418,8,2010,2019
SX7780,1,2013,2013
SU9484,4,2012,2021
NU0943,21,2012,2017
NY6834,2,2019,2019
SO4474,3,2017,2021
TF6628,5,2018,2022
SD1671,2,2015,2020
SE7036,5,2013,2020
SU6320,8,2012,2021
SU6420,25,2012,2021
SD2910,13,2012,2021
SU0420,9,2010,2019
TQ4095,1,2022,2022
TQ4399,1,2022,2022
TQ5501,4,2011,2018
SD7575,5,2014,2022
NT6602,2,2018,2022
SD7973,17,2010,2022
SD7777,8,2010,2022
SU4502,1,2019,2019
TL2189,1,2014,2014
SZ4096,1,2019,2019
TF4692,4,2013,2022
NY2857,1,2012,2012
SW6912,2,2013,2022
SW6617,2,2017,2022
SD8968,1,2018,2018
SD1771,4,2015,2020
SD9066,5,2013,2022
SD2810,7,2012,2021
SD8966,6,2013,2022
SD7972,4,2010,2014
NY6934,9,2015,2019
SD7577,8,2010,2022
SU0319,2,2010,2014
SX7779,1,2010,2010
SD7774,8,2010,2022
SD1772,5,2015,2020
SO3699,5,2010,2018
SZ4198,5,2011,2019
TQ4197,1,2022,2022
TQ3995,1,2022,2022
TL2284,1,2014,2014
SS4434,2,2019,2019
SJ3701,3,2010,2018
NU1243,13,2012,2017
NY6735,2,2015,2015
SD1773,4,2015,2020
SD7773,8,2010,2022
SS4535,3,2015,2015
SW6813,1,2017,2017
SD1672,5,2015,2020
SD8967,6,2013,2022
SD7678,4,2010,2022
NY1311,7,2019,2019
SU0618,1,2019,2019
SK0690,3,2012,2021
SE8898,2,2015,2019
SU9585,6,2012,2021
SW6715,5,2017,2022
TL2384,2,2014,2019
SK1772,6,2012,2021
SJ3600,2,2010,2018
NY1611,3,2019,2019
SJ3700,3,2010,2018
SW7716,4,2017,2022
SS4633,2,2019,2019
SD7873,4,2014,2022
NY6835,4,2015,2019
SO3798,5,2010,2018
SO3797,3,2010,2018
NY1410,3,2019,2019
SE6937,1,2013,2013
SJ8312,14,2014,2022
SK1177,5,2012,2021
NY1510,5,2019,2019
SK1374,10,2012,2021
SK1373,10,2012,2021
SU9140,1,2019,2019
SK1674,1,2016,2016
SK1276,10,2012,2021
SS4536,1,2019,2019
SW6814,2,2017,2022
NY1411,1,2019,2019
SD7677,4,2010,2022
NY2757,3,2017,2021
SW6615,1,2017,2017
SU9666,2,2021,2021
TF6728,2,2022,2022
NY1509,1,2019,2019
NU1043,6,2012,2017
SW6714,2,2017,2022
SD3011,1,2016,2016
SD3010,1,2021,2021
NY6399,1,2018,2018
SW7120,1,2017,2017
SE6936,2,2013,2018
SU9039,1,2015,2015
SO3799,1,2018,2018
SD2909,1,2016,2016
SJ3601,1,2014,2014
TF4691,2,2013,2022
SW6713,1,2017,2017
NY1610,2,2019,2019
TG3316,1,2019,2019
TF6729,1,2018,2018
SW6716,1,2017,2017
SO7675,1,2020,2020
SO7576,1,2020,2020
SS4533,1,2019,2019
SD7676,3,2014,2018
SD7475,2,2018,2022
NY1512,1,2019,2019
NT6402,2,2018,2022
SK1092,1,2018,2018
NY6935,2,2019,2019
NU1143,1,2017,2017
