gr,recn,yearStart,yearEnd
SU0419,17,2010,2019
SU0320,10,2010,2019
TG3316,30,2010,2019
SX7878,1,2010,2010
SO7577,6,2014,2020
SX7778,2,2013,2017
NU1043,2,2017,2017
SD8866,2,2022,2022
SU0418,3,2010,2019
SD8966,10,2013,2022
TF4791,14,2013,2022
SD2810,12,2012,2021
TG4017,25,2013,2018
NY6934,4,2015,2019
SK1373,7,2016,2021
TL6469,23,2013,2018
SJ8313,37,2014,2022
SW6614,2,2017,2022
SE6937,11,2018,2020
NY2757,5,2017,2021
SJ8413,22,2014,2022
SE6936,9,2013,2020
SE6941,11,2013,2020
SW6715,6,2013,2022
SW6814,2,2017,2022
NY2756,10,2017,2021
SE6939,6,2013,2020
SZ4198,8,2011,2019
SU4400,5,2011,2019
TL2284,4,2014,2019
SZ4197,31,2011,2019
TL2088,3,2014,2019
TQ4398,1,2013,2013
SZ4098,6,2011,2019
TQ4096,2,2013,2022
TL2384,7,2014,2019
SZ4096,6,2019,2019
SD9066,12,2013,2022
NT6602,6,2018,2022
SZ4097,4,2011,2019
TG3216,1,2014,2014
TQ4195,2,2013,2013
TQ4198,1,2013,2013
TL2285,7,2014,2019
NU0943,19,2012,2017
SU0420,8,2010,2019
SJ8312,10,2014,2022
SW6617,3,2017,2022
SS4434,3,2015,2019
SD2911,13,2012,2021
SS4534,5,2015,2019
SU6421,3,2012,2016
SU4501,1,2019,2019
TG3917,8,2013,2018
TL2189,2,2014,2019
TQ4199,1,2022,2022
TG3317,3,2010,2019
TL2385,3,2014,2019
SU6420,8,2012,2021
TQ5401,17,2018,2018
TL2283,8,2014,2019
SE6938,1,2020,2020
TF4987,1,2022,2022
NU1243,8,2017,2017
NY6835,3,2015,2019
TL6569,7,2013,2018
TQ5501,3,2018,2018
TL2089,1,2019,2019
TL4200,1,2022,2022
TQ3995,1,2013,2013
SE7036,14,2013,2020
SS4535,8,2015,2019
TL1980,1,2012,2012
SO4574,1,2021,2021
SU0518,7,2010,2019
SO4474,3,2017,2021
NY6935,5,2015,2019
NY6735,3,2015,2019
NY7035,2,2015,2019
TG4018,4,2018,2018
SW7716,3,2017,2022
TG4118,4,2013,2018
SD1672,4,2015,2020
NU1343,6,2012,2017
SS4533,2,2019,2019
SD2910,4,2012,2021
SU6320,4,2012,2021
SW6813,3,2013,2022
SE6945,1,2020,2020
SW6713,5,2013,2022
TG4117,11,2013,2018
SO3799,2,2010,2014
TF4889,2,2013,2017
SK1276,4,2016,2021
SS4435,3,2015,2019
SE6940,8,2013,2020
SD3011,3,2012,2021
SE7042,1,2020,2020
SK1772,1,2021,2021
NY6733,2,2015,2019
NY1512,2,2019,2019
SD1772,2,2020,2020
SW6915,2,2017,2022
SW6716,1,2022,2022
SS4437,1,2019,2019
NY1511,2,2019,2019
TG3416,2,2010,2019
NY6399,2,2018,2022
SE8797,1,2019,2019
SK1374,2,2016,2021
SD8967,3,2013,2022
TF4692,4,2013,2017
SW7321,3,2013,2022
SD7973,1,2014,2014
NY6834,4,2015,2019
NY1311,1,2019,2019
SE8898,1,2019,2019
TF4988,1,2022,2022
NY6634,2,2015,2019
NY2656,1,2017,2017
NY2857,1,2017,2017
SD1873,1,2020,2020
TL1988,2,2014,2019
SE6944,1,2020,2020
SK1775,1,2016,2016
TF6729,1,2022,2022
NY6734,4,2015,2019
SW6615,1,2022,2022
TL1979,1,2012,2012
NY1510,2,2019,2019
SO4373,2,2017,2021
SW6714,3,2013,2022
SK1773,1,2016,2016
SU0618,1,2019,2019
SS4633,1,2019,2019
SS4537,1,2019,2019
SD3481,1,2015,2015
SS4536,1,2019,2019
SU0319,1,2010,2010
SK1674,1,2021,2021
SK1774,1,2016,2016
SD7774,1,2022,2022
NT6402,1,2022,2022
SK1177,1,2016,2016
SD8867,1,2018,2018
SK1277,2,2016,2021
