gr,recn,yearStart,yearEnd
SX7780,2,2010,2013
SX7679,2,2010,2013
SX7878,1,2013,2013
SX7879,1,2017,2017
SD7776,2,2022,2022
SD7575,2,2014,2022
SX7779,1,2013,2013
SD8967,1,2022,2022
SD7477,1,2022,2022
SW6813,5,2013,2017
SD7777,1,2022,2022
SU9039,2,2015,2019
SE8797,2,2015,2019
SO7577,2,2020,2020
SO3698,2,2014,2018
SD7476,1,2022,2022
SW6713,2,2013,2017
SO3799,1,2018,2018
SD7971,1,2022,2022
SU9666,1,2021,2021
SD7676,2,2022,2022
NY6934,1,2015,2015
SD7973,1,2022,2022
SO3797,1,2018,2018
SD7677,1,2022,2022
NY6834,1,2015,2015
SD7972,1,2022,2022
NY6835,1,2015,2015
