gr,recn,yearStart,yearEnd
SX7878,4,2010,2021
TL1980,7,2012,2022
SU4101,3,2011,2019
SS4536,2,2015,2019
SJ8312,9,2014,2022
TL2386,1,2014,2014
SJ8413,3,2014,2022
SU0320,1,2019,2019
SO7577,1,2020,2020
SS4537,1,2019,2019
SJ8313,3,2014,2022
TL6469,7,2013,2018
SD8867,4,2013,2018
SO4373,4,2012,2021
SS4535,2,2015,2019
TL1979,6,2012,2022
SS4533,4,2015,2019
SD7777,4,2010,2022
SS4534,2,2015,2019
SS4434,1,2019,2019
SK1373,3,2012,2021
TL2080,1,2022,2022
TL6569,1,2018,2018
SO4574,1,2021,2021
SU9585,1,2021,2021
