gr,recn,yearStart,yearEnd
TQ4096,3,2013,2022
SJ8313,14,2014,2022
SE6936,12,2013,2020
SE6941,18,2013,2020
SE6937,7,2013,2020
SJ8413,23,2014,2022
TL2384,1,2014,2014
SU0518,2,2019,2019
SE7036,17,2013,2020
SE6940,9,2013,2020
TG4017,2,2018,2018
TL2285,2,2014,2014
TL2386,2,2014,2019
TL2088,2,2014,2019
SE6939,4,2013,2020
SE7042,1,2020,2020
TL2185,1,2019,2019
SJ8312,2,2018,2022
TL2089,1,2019,2019
TL2189,1,2019,2019
TG3917,1,2013,2013
TG4117,1,2013,2013
SE6944,1,2020,2020
TL2286,1,2019,2019
SK1775,1,2021,2021
TL1989,1,2019,2019
TL6569,1,2013,2013
