gr,recn,yearStart,yearEnd
SD2810,14,2012,2021
TF4987,12,2013,2022
SD1773,18,2015,2020
NU0943,7,2012,2017
SD2911,17,2012,2021
SD2910,19,2012,2021
SS4533,1,2019,2019
SS4436,3,2015,2019
SS4434,3,2015,2019
SD1873,3,2015,2020
SS4534,4,2015,2019
SS4532,2,2015,2019
NU1243,7,2012,2017
TF4889,4,2013,2022
SS4633,5,2015,2019
SS4632,1,2019,2019
SS4433,4,2015,2019
TF4692,8,2013,2022
SD1671,2,2015,2020
SS4435,8,2015,2019
SD1673,2,2015,2020
SS4536,1,2015,2015
NU1143,2,2012,2017
TF4988,7,2013,2022
SD1771,4,2015,2020
NU1043,1,2012,2012
SS4537,2,2019,2019
SD1772,4,2015,2020
TF4691,1,2022,2022
SS4535,3,2015,2019
NU1343,2,2017,2017
SD1672,2,2015,2020
SD2809,1,2012,2012
