gr,recn,yearStart,yearEnd
TG3316,3,2014,2019
NU1243,3,2017,2017
TQ4398,1,2022,2022
TQ4199,1,2022,2022
TQ4095,2,2022,2022
TQ3995,1,2022,2022
SU9765,11,2021,2021
TQ4298,2,2022,2022
SJ4936,2,2021,2021
NY6832,1,2015,2015
TQ4195,1,2022,2022
TQ4198,1,2022,2022
SO3799,2,2018,2018
SU9864,2,2021,2021
SD8967,1,2018,2018
TQ5401,2,2018,2018
NU1043,2,2017,2017
SW6617,1,2017,2017
SD8966,2,2018,2018
TL2285,2,2019,2019
TF4987,2,2017,2017
SD2810,1,2016,2016
SD2910,3,2016,2016
NU0943,1,2017,2017
SW6713,1,2017,2017
SW6814,1,2017,2017
TF6729,1,2022,2022
SJ4835,1,2021,2021
SO4473,1,2017,2017
TG3416,1,2014,2014
NY1410,1,2019,2019
