gr,recn,yearStart,yearEnd
SU0320,13,2010,2019
SU0419,25,2010,2019
SU0518,14,2010,2019
SX7879,2,2017,2021
SX7878,3,2013,2013
SX7778,1,2013,2013
NU0943,21,2012,2017
SU0418,10,2010,2019
NU1343,19,2012,2017
NY1511,3,2015,2019
SJ8413,51,2014,2022
SW6814,2,2017,2022
SU6320,10,2012,2021
SD2911,10,2012,2021
SW6716,2,2017,2022
SJ8313,46,2014,2022
SW6813,9,2013,2022
NY2757,4,2017,2021
SU6421,27,2012,2021
SU4601,2,2011,2015
TQ5401,27,2011,2018
TQ4197,1,2022,2022
SD7577,8,2010,2022
SX7679,1,2010,2010
SD7973,21,2010,2022
SD1773,9,2015,2020
SU0420,7,2010,2019
SZ4198,1,2019,2019
SD7477,12,2010,2022
SZ4197,1,2019,2019
SU4501,1,2011,2011
SK1773,19,2012,2021
NY1411,3,2015,2019
SD9066,9,2013,2022
SJ8312,22,2014,2022
SJ3701,3,2010,2018
SD2810,16,2012,2021
SD8967,8,2013,2022
SD1671,2,2015,2020
SK1177,3,2016,2021
NU1243,13,2012,2017
TF4691,1,2022,2022
NY1510,14,2015,2019
SW6714,3,2013,2022
NY2857,6,2012,2021
SU6420,32,2012,2021
SD7773,7,2010,2022
SD7874,12,2010,2022
SD7776,10,2010,2022
SD2809,6,2012,2021
SD3010,2,2016,2021
SD2910,23,2012,2021
SK1374,9,2012,2021
SK1373,8,2012,2021
SD8966,20,2013,2022
TF4692,4,2013,2022
NY1311,5,2015,2019
NY2756,16,2012,2021
SD8968,6,2013,2022
NY6935,3,2015,2019
SK1775,7,2012,2021
NY6934,2,2015,2019
NT6401,1,2022,2022
TL2384,3,2014,2019
SW6715,8,2013,2022
SE6941,4,2013,2018
NY1512,2,2015,2019
TF4987,6,2013,2022
SK1772,4,2012,2021
NT6602,6,2013,2022
TL2283,3,2014,2019
SD7678,4,2010,2022
SD7971,3,2018,2022
SW6614,2,2013,2022
SD7777,7,2010,2022
SD7774,8,2010,2022
SK1276,13,2012,2021
NY2656,1,2012,2012
NY6833,2,2015,2019
SW6912,3,2013,2022
SO7577,4,2020,2020
SS4535,3,2019,2019
SW6615,1,2022,2022
TG4118,2,2013,2018
TG3316,6,2010,2019
SO3699,2,2014,2018
SE7036,8,2013,2020
SO3799,3,2010,2018
SD7676,3,2010,2022
TG4017,2,2018,2018
SD7873,5,2010,2022
NU1043,6,2012,2017
SJ3700,1,2014,2014
SS4434,1,2015,2015
TQ5501,5,2014,2018
SD1772,4,2015,2020
SU0319,3,2010,2019
TF4791,1,2017,2017
SD7475,1,2022,2022
SK0690,3,2012,2021
SD7677,4,2010,2022
SK1277,2,2016,2021
SD1771,6,2015,2020
SK1774,16,2012,2021
SD1873,1,2020,2020
NT6402,3,2013,2022
SW6617,3,2017,2022
SK1674,2,2016,2021
TL2385,2,2014,2019
SW7118,1,2013,2013
TG4018,1,2018,2018
SD7476,1,2014,2014
SW6915,2,2017,2022
TF4988,2,2022,2022
SD1672,1,2020,2020
NY1610,4,2015,2019
SW7716,2,2017,2022
SW6713,1,2017,2017
SO3798,4,2010,2018
NY6399,2,2018,2022
NY1410,2,2015,2019
SD2909,1,2016,2016
NY6832,2,2015,2019
SW7321,1,2022,2022
SO3797,2,2014,2018
NY1509,2,2015,2019
TF4889,1,2022,2022
SU0618,1,2019,2019
