gr,recn,yearStart,yearEnd
SU0320,19,2010,2019
SU0518,13,2010,2019
SU0419,27,2010,2019
SX7878,1,2013,2013
SK1373,11,2012,2021
NY2756,6,2012,2021
SD1773,9,2015,2020
TF4692,9,2013,2022
SU0420,16,2010,2019
SU6320,15,2012,2021
SU6421,23,2012,2021
NY2656,5,2012,2021
SU0418,6,2010,2019
TL2088,4,2014,2019
TL2283,4,2014,2019
TF4987,8,2013,2022
TL2384,3,2014,2019
TF4791,9,2013,2022
TQ5401,16,2014,2018
SD1772,4,2015,2020
NU1343,15,2012,2017
SD2810,12,2012,2021
SU0519,1,2019,2019
SD2911,15,2012,2021
SU6420,39,2012,2021
TG3917,2,2018,2018
TF4889,7,2013,2022
SS4534,2,2019,2019
SS4535,6,2015,2019
SS4633,5,2015,2019
SD2910,10,2012,2021
SJ8312,3,2014,2022
SD1873,1,2020,2020
SJ8413,8,2014,2022
TL2284,2,2014,2019
NY2757,2,2017,2021
TG4017,4,2018,2018
NU1043,5,2012,2017
NU0943,9,2012,2017
SK1775,7,2012,2021
SD1671,2,2015,2020
NU1243,7,2012,2017
TF4691,5,2013,2022
SK1774,5,2012,2021
TL2089,1,2019,2019
SD2809,2,2012,2021
SD1672,2,2015,2020
SK1772,3,2012,2021
TG4117,3,2018,2018
SD7776,2,2018,2022
SU0319,3,2010,2019
SD1771,1,2020,2020
TQ5501,2,2018,2018
NU1143,2,2012,2017
SD2909,3,2012,2021
TL1980,1,2017,2017
SS4437,1,2019,2019
SK1773,1,2016,2016
TL6469,2,2013,2018
SD7678,1,2022,2022
SJ8313,2,2014,2022
SK1177,1,2016,2016
SD7777,2,2018,2022
SD3011,1,2012,2012
TF4988,2,2013,2022
SS4632,1,2019,2019
SK1674,1,2021,2021
TL6569,1,2013,2013
TL2383,1,2019,2019
SU0618,1,2019,2019
