taxonId,taxon
abies_grandis,Abies grandis
acaena_novae_zelandiae,Acaena novae-zelandiae
acer,Acer
acer_campestre,Acer campestre
acer_platanoides,Acer platanoides
acer_pseudoplatanus,Acer pseudoplatanus
achillea_millefolium,Achillea millefolium
achillea_ptarmica,Achillea ptarmica
adoxa_moschatellina,Adoxa moschatellina
aegopodium_podagraria,Aegopodium podagraria
agrimonia,Agrimonia
agrimonia_eupatoria,Agrimonia eupatoria
agrostis,Agrostis
agrostis_canina,Agrostis canina
agrostis_capillaris,Agrostis capillaris
agrostis_capillaris_x_stolonifera___a__x_murbeckii,Agrostis capillaris x stolonifera = A. x murbeckii
agrostis_curtisii,Agrostis curtisii
agrostis_gigantea,Agrostis gigantea
agrostis_stolonifera,Agrostis stolonifera
agrostis_vinealis,Agrostis vinealis
aira,Aira
aira_caryophyllea,Aira caryophyllea
aira_praecox,Aira praecox
ajuga_reptans,Ajuga reptans
alchemilla_filicaulis,Alchemilla filicaulis
alchemilla_filicaulis_subsp__vestita,Alchemilla filicaulis subsp. vestita
alchemilla_glabra,Alchemilla glabra
alchemilla_minima,Alchemilla minima
alchemilla_xanthochlora,Alchemilla xanthochlora
algae,Algae
alisma_plantago_aquatica,Alisma plantago-aquatica
allium_ampeloprasum,Allium ampeloprasum
allium_oleraceum,Allium oleraceum
allium_schoenoprasum,Allium schoenoprasum
allium_ursinum,Allium ursinum
allium_vineale,Allium vineale
alnus_glutinosa,Alnus glutinosa
alopecurus,Alopecurus
alopecurus_geniculatus,Alopecurus geniculatus
alopecurus_pratensis,Alopecurus pratensis
amblystegium,Amblystegium
amblystegium_serpens,Amblystegium serpens
ammophila_arenaria,Ammophila arenaria
anacamptis_morio,Anacamptis morio
anacamptis_pyramidalis,Anacamptis pyramidalis
anagallis_arvensis,Anagallis arvensis
anagallis_tenella,Anagallis tenella
anastrepta_orcadensis,Anastrepta orcadensis
andreaea_rothii,Andreaea rothii
andreaea_rupestris,Andreaea rupestris
andromeda_polifolia,Andromeda polifolia
anemone_nemorosa,Anemone nemorosa
aneura_pinguis,Aneura pinguis
angelica_sylvestris,Angelica sylvestris
anthophyta,Anthophyta
anthoxanthum_aristatum,Anthoxanthum aristatum
anthoxanthum_odoratum,Anthoxanthum odoratum
anthriscus_sylvestris,Anthriscus sylvestris
anthyllis_vulneraria,Anthyllis vulneraria
aphanes,Aphanes
aphanes_arvensis,Aphanes arvensis
aphanes_australis,Aphanes australis
apiaceae,Apiaceae
apium_nodiflorum,Apium nodiflorum
arabis_hirsuta,Arabis hirsuta
arctium_minus,Arctium minus
arctium_minus_nemorosum,Arctium minus/nemorosum
arenaria_serpyllifolia,Arenaria serpyllifolia
armeria_maritima,Armeria maritima
arrhenatherum_elatius,Arrhenatherum elatius
arum_maculatum,Arum maculatum
asparagus_officinalis,Asparagus officinalis
asperula_cynanchica,Asperula cynanchica
asplenium_adiantum_nigrum,Asplenium adiantum-nigrum
asplenium_ruta_muraria,Asplenium ruta-muraria
asplenium_trichomanes,Asplenium trichomanes
asplenium_trichomanes_subsp__quadrivalens,Asplenium trichomanes subsp. quadrivalens
asplenium_viride,Asplenium viride
aster,Aster
aster_laevis_x_novi_belgii___a__x_versicolor,Aster laevis x novi-belgii = A. x versicolor
aster_novi_belgii_subsp__novi_belgii,Aster novi-belgii subsp. novi-belgii
aster_novi_belgii_x_lanceolatus___a__x_salignus,Aster novi-belgii x lanceolatus = A. x salignus
aster_tripolium,Aster tripolium
asteraceae,Asteraceae
athyrium_filix_femina,Athyrium filix-femina
atrichum_undulatum,Atrichum undulatum
atriplex_patula,Atriplex patula
atriplex_portulacoides,Atriplex portulacoides
atriplex_prostrata,Atriplex prostrata
aulacomnium_androgynum,Aulacomnium androgynum
aulacomnium_palustre,Aulacomnium palustre
barbilophozia,Barbilophozia
barbula,Barbula
barbula_unguiculata,Barbula unguiculata
bellis_perennis,Bellis perennis
berula_erecta,Berula erecta
betula,Betula
betula_pendula,Betula pendula
betula_pendula_x_pubescens___b__x_aurata,Betula pendula x pubescens = B. x aurata
betula_pubescens,Betula pubescens
bidens_tripartita,Bidens tripartita
blackstonia_perfoliata,Blackstonia perfoliata
blechnum_spicant,Blechnum spicant
blepharostoma_trichophyllum,Blepharostoma trichophyllum
blysmus_compressus,Blysmus compressus
bolboschoenus_maritimus,Bolboschoenus maritimus
botrychium_lunaria,Botrychium lunaria
brachypodium,Brachypodium
brachypodium_pinnatum_s_l_,Brachypodium pinnatum s.l.
brachypodium_sylvaticum,Brachypodium sylvaticum
brachytheciastrum_velutinum,Brachytheciastrum velutinum
brachythecium,Brachythecium
brachythecium_albicans,Brachythecium albicans
brachythecium_mildeanum,Brachythecium mildeanum
brachythecium_rivulare,Brachythecium rivulare
brachythecium_rutabulum,Brachythecium rutabulum
breutelia_chrysocoma,Breutelia chrysocoma
briza_media,Briza media
bromopsis_erecta,Bromopsis erecta
bromopsis_ramosa,Bromopsis ramosa
bromus,Bromus
bromus_commutatus,Bromus commutatus
bromus_hordeaceus,Bromus hordeaceus
bromus_hordeaceus_subsp__ferronii,Bromus hordeaceus subsp. ferronii
bromus_hordeaceus_subsp__hordeaceus,Bromus hordeaceus subsp. hordeaceus
bromus_hordeaceus_subsp__thominei,Bromus hordeaceus subsp. thominei
bromus_racemosus,Bromus racemosus
bromus_sterilis,Bromus sterilis
bryonia_dioica,Bryonia dioica
bryophyta,Bryophyta
bryum,Bryum
bryum_argenteum,Bryum argenteum
bryum_bornholmense,Bryum bornholmense
bryum_caespiticium,Bryum caespiticium
bryum_capillare,Bryum capillare
bryum_dichotomum,Bryum dichotomum
bryum_moravicum,Bryum moravicum
bryum_pseudotriquetrum,Bryum pseudotriquetrum
bryum_rubens,Bryum rubens
bryum_subapiculatum,Bryum subapiculatum
butomus_umbellatus,Butomus umbellatus
calamagrostis,Calamagrostis
calamagrostis_canescens,Calamagrostis canescens
calamagrostis_epigejos,Calamagrostis epigejos
calliergon,Calliergon
calliergon_cordifolium,Calliergon cordifolium
calliergon_giganteum,Calliergon giganteum
