gr,recn,yearStart,yearEnd
SU01P,47,2010,2019
SK17S,13,2012,2021
SU62K,62,2012,2021
SU62F,9,2012,2021
SW61T,6,2017,2022
TQ50K,41,2011,2018
SD77R,4,2010,2022
SD77U,4,2010,2022
SD77S,3,2014,2022
SU02F,5,2010,2019
SX77Z,1,2017,2017
SU02K,4,2010,2019
TF48Y,6,2013,2022
SD17R,2,2015,2020
SD77X,8,2010,2022
SD77N,9,2010,2022
SW61W,3,2013,2022
SK17R,8,2012,2021
SW61S,2,2022,2022
SD77W,7,2010,2022
SD96D,2,2013,2022
TF49Q,5,2013,2022
SK17H,4,2012,2021
SK17G,2,2021,2021
SJ81L,2,2014,2022
NY11K,1,2019,2019
SJ81G,1,2018,2018
SS43M,1,2019,2019
SU01J,3,2010,2019
SD17Q,2,2015,2020
