gr,recn,yearStart,yearEnd
SX77Z,13,2010,2021
TQ49J,5,2018,2022
SX77U,5,2010,2021
NY11K,6,2019,2019
SU98M,6,2012,2021
SD86Y,8,2013,2022
SS43M,2,2019,2019
SW61W,6,2013,2022
SO39U,12,2010,2018
TQ49D,1,2018,2018
SD77T,6,2010,2014
NY11L,3,2019,2019
SW61Z,1,2022,2022
NT60R,9,2013,2022
SU96S,2,2012,2021
SU40K,3,2011,2019
SE63Y,14,2013,2020
NT60L,1,2013,2013
SD77R,1,2014,2014
NY69J,1,2018,2018
SE73D,11,2013,2020
SW61S,6,2017,2022
SE64V,22,2013,2020
SD77V,1,2022,2022
SW71T,1,2022,2022
TQ50K,7,2014,2018
SD77N,2,2010,2014
SE63Z,4,2013,2020
SU94A,2,2019,2019
NY11Q,1,2019,2019
SD17R,4,2015,2020
SD77M,3,2010,2014
NY63W,2,2015,2019
TF49Q,2,2017,2022
SW61X,3,2013,2022
SS43L,4,2015,2019
SE74B,1,2020,2020
SD17Q,3,2015,2020
SW71J,3,2013,2022
TL66P,1,2013,2013
SX78Q,2,2017,2021
SJ81G,1,2014,2014
SD77W,1,2014,2014
SW61R,3,2013,2017
SW71N,1,2017,2017
SW72F,3,2013,2022
SK17S,1,2021,2021
NY63X,1,2015,2015
TF62U,5,2013,2022
TF48Z,1,2022,2022
NY63S,1,2015,2015
