gr,recn,yearStart,yearEnd
TQ49C,5,2018,2022
SU01P,34,2010,2019
TQ49D,4,2018,2022
SU02F,13,2010,2019
SO77N,7,2014,2020
SX77Z,7,2010,2021
SX77U,7,2010,2021
NY11K,21,2019,2019
NY25T,10,2012,2021
TF48Y,3,2013,2022
SK17S,27,2012,2021
TF62Z,1,2018,2018
SO47L,4,2017,2021
SO47G,2,2017,2021
SU98M,20,2012,2021
NU14G,29,2012,2017
SD77V,6,2010,2022
SU62K,43,2012,2021
SJ81G,46,2014,2022
SJ81L,39,2014,2022
SD21V,30,2012,2021
SU40K,9,2011,2019
TQ49E,1,2022,2022
SZ49D,11,2011,2019
TL28E,4,2014,2014
NT60K,2,2018,2022
SD77N,22,2010,2022
TL28H,6,2014,2019
SD77T,21,2010,2022
SK17R,28,2012,2021
SD77X,12,2010,2022
TF48Z,2,2013,2022
TL28G,5,2014,2019
SU40Q,3,2011,2019
TQ50K,52,2011,2018
TQ49J,6,2018,2022
SX78Q,1,2013,2013
NU04W,21,2012,2017
NY63X,17,2015,2019
SO47M,3,2017,2021
TF62U,8,2018,2022
SD17Q,6,2015,2020
SE73D,5,2013,2020
SU62F,8,2012,2021
SU02K,9,2010,2019
SD77M,7,2014,2022
NT60R,2,2018,2022
SD77W,25,2010,2022
SU40L,1,2019,2019
TF49R,4,2013,2022
NY25Y,1,2012,2012
SW61W,3,2013,2022
SW61T,3,2017,2022
SD86Z,1,2018,2018
SD96D,5,2013,2022
SD86Y,12,2013,2022
SU01J,2,2010,2014
SD77S,8,2010,2022
SD17R,14,2015,2020
SO39U,11,2010,2018
SZ49E,5,2011,2019
TQ39X,1,2022,2022
SS43M,5,2015,2019
SJ30Q,9,2010,2018
NY63S,2,2015,2015
SD77R,8,2010,2022
SD77U,4,2010,2022
NY11F,7,2019,2019
SU01U,1,2019,2019
SK09Q,3,2012,2021
SE89Z,2,2015,2019
SW61S,8,2017,2022
NY11Q,5,2019,2019
SW71T,4,2017,2022
SS43R,2,2019,2019
SO39T,3,2010,2018
SE63Y,3,2013,2018
SK17D,5,2012,2021
SK17H,10,2012,2021
SK17G,10,2012,2021
SU94A,1,2019,2019
SK17I,10,2012,2021
SS43N,1,2019,2019
SW61X,2,2017,2022
SU96T,2,2021,2021
NY10P,1,2019,2019
NU14B,7,2012,2017
SD31A,2,2016,2021
NY69J,1,2018,2018
SW72A,1,2017,2017
SU93E,1,2015,2015
SD20Z,1,2016,2016
TF49Q,2,2013,2022
SW61R,1,2017,2017
TG31I,1,2019,2019
SO77S,1,2020,2020
SS43L,1,2019,2019
NY11L,1,2019,2019
NT60L,2,2018,2022
SK19B,1,2018,2018
