gr,recn,yearStart,yearEnd
SU01P,27,2010,2019
SU02F,10,2010,2019
TG31I,34,2010,2019
SX77Z,1,2010,2010
SO77N,6,2014,2020
SX77U,2,2013,2017
NU14B,2,2017,2017
SD86Y,16,2013,2022
TF49Q,14,2013,2022
SD21V,29,2012,2021
TG41D,36,2013,2018
NY63X,16,2015,2019
SK17G,7,2016,2021
TL66P,30,2013,2018
SJ81G,47,2014,2022
SW61S,12,2013,2022
SE63Y,20,2013,2020
NY25T,16,2017,2021
SJ81L,22,2014,2022
SE64V,19,2013,2020
SW61X,4,2017,2022
SE63Z,7,2013,2020
SZ49E,14,2011,2019
SU40K,6,2011,2019
TL28H,21,2014,2019
SZ49D,41,2011,2019
TL28E,6,2014,2019
TQ49J,1,2013,2013
TQ49D,2,2013,2022
SD96D,12,2013,2022
NT60R,6,2018,2022
TQ49C,2,2013,2013
TQ49E,2,2013,2022
NU04W,19,2012,2017
SU02K,8,2010,2019
SW61T,4,2017,2022
SS43M,19,2015,2019
SU62K,11,2012,2021
TG31Y,8,2013,2018
TQ50K,20,2018,2018
TL28G,8,2014,2019
TF48Y,1,2022,2022
NU14G,14,2012,2017
TL40F,1,2022,2022
TQ39X,1,2013,2013
SE73D,14,2013,2020
TL18V,1,2012,2012
SO47M,4,2017,2021
NY63S,9,2015,2019
NY73C,2,2015,2019
TG41E,8,2013,2018
SW71T,3,2017,2022
SD17R,6,2015,2020
SS43L,2,2019,2019
SU62F,4,2012,2021
SW61W,3,2013,2022
SE64X,2,2020,2020
SW61R,5,2013,2022
SO39U,2,2010,2014
TF48Z,3,2013,2022
SK17I,6,2016,2021
SD31A,3,2012,2021
SE74B,1,2020,2020
SK17R,2,2016,2021
NY63R,2,2015,2019
NY11L,2,2019,2019
SS43N,3,2019,2019
NY11K,4,2019,2019
TG31N,2,2010,2019
NY69J,2,2018,2022
SE89T,1,2019,2019
SK17H,2,2016,2021
TF49R,4,2013,2017
SW72F,3,2013,2022
SD77W,1,2014,2014
NY11F,1,2019,2019
SE89Z,1,2019,2019
NY25Y,1,2017,2017
SD17W,1,2020,2020
TL18Z,2,2014,2019
SK17S,3,2016,2021
TF62U,1,2022,2022
TL17Z,1,2012,2012
SO47G,2,2017,2021
SU01U,1,2019,2019
SS43R,1,2019,2019
SD38K,1,2015,2015
SU01J,1,2010,2010
SD77S,1,2022,2022
NT60L,1,2022,2022
SK17D,1,2016,2016
