gr,recn,yearStart,yearEnd
TG31I,3,2014,2019
NU14G,3,2017,2017
TQ49J,3,2022,2022
TQ49E,2,2022,2022
TQ49C,3,2022,2022
TQ39X,1,2022,2022
SU96S,11,2021,2021
SJ43Y,2,2021,2021
NY63W,1,2015,2015
SO39U,2,2018,2018
SU96X,2,2021,2021
SD86Y,3,2018,2018
TQ50K,2,2018,2018
NU14B,2,2017,2017
SW61T,1,2017,2017
TL28H,2,2019,2019
TF48Y,2,2017,2017
SD21V,4,2016,2016
NU04W,1,2017,2017
SW61R,1,2017,2017
SW61X,1,2017,2017
TF62U,1,2022,2022
SJ43X,1,2021,2021
SO47L,1,2017,2017
TG31N,1,2014,2014
NY11K,1,2019,2019
