gr,recn,yearStart,yearEnd
SU02F,13,2010,2019
SU01P,49,2010,2019
SX77Z,5,2013,2021
SX77U,2,2010,2013
NU04W,21,2012,2017
NU14G,32,2012,2017
NY11K,22,2015,2019
SJ81L,51,2014,2022
SW61X,4,2017,2022
SU62F,10,2012,2021
SD21V,49,2012,2021
SW61T,5,2017,2022
SJ81G,68,2014,2022
SW61W,12,2013,2022
NY25T,21,2012,2021
SU62K,59,2012,2021
SU40Q,2,2011,2015
TQ50K,32,2011,2018
TQ49D,1,2022,2022
SD77N,21,2010,2022
SD77W,26,2010,2022
SD17R,14,2015,2020
SU02K,7,2010,2019
SZ49E,1,2019,2019
SZ49D,1,2019,2019
SU40K,1,2011,2011
SK17R,23,2012,2021
SD96D,9,2013,2022
SJ30Q,4,2010,2018
SD86Y,28,2013,2022
SD17Q,8,2015,2020
SK17D,3,2016,2021
TF49Q,2,2017,2022
SW61S,14,2013,2022
NY25Y,6,2012,2021
SD77R,7,2010,2022
SD77X,12,2010,2022
SD77T,24,2010,2022
SD20Z,7,2012,2021
SD31A,2,2016,2021
SK17H,9,2012,2021
SK17G,8,2012,2021
TF49R,4,2013,2022
NY11F,5,2015,2019
SD86Z,6,2013,2022
NY63X,5,2015,2019
SK17S,25,2012,2021
NT60K,1,2022,2022
TL28H,5,2014,2019
SE64V,4,2013,2018
NY11L,2,2015,2019
TF48Y,6,2013,2022
NT60R,6,2013,2022
TL28G,3,2014,2019
SD77U,4,2010,2022
SD77V,3,2018,2022
SD77S,8,2010,2022
SK17I,15,2012,2021
NY63W,4,2015,2019
SO77N,4,2020,2020
SS43M,4,2015,2019
TG41E,3,2013,2018
TG31I,6,2010,2019
SO39U,9,2010,2018
SE73D,8,2013,2020
TG41D,2,2018,2018
NU14B,6,2012,2017
SU01J,3,2010,2019
SD77M,1,2022,2022
SK09Q,3,2012,2021
SD17W,1,2020,2020
NT60L,3,2013,2022
SW71E,1,2013,2013
TF48Z,3,2022,2022
NY11Q,4,2015,2019
SW71T,2,2017,2022
SW61R,1,2017,2017
NY69J,2,2018,2022
SW72F,1,2022,2022
SO39T,2,2014,2018
NY10P,2,2015,2019
SU01U,1,2019,2019
