gr,recn,yearStart,yearEnd
SU02F,19,2010,2019
SU01P,47,2010,2019
SX77Z,1,2013,2013
SK17G,11,2012,2021
NY25T,13,2012,2021
SD17R,15,2015,2020
TF49R,9,2013,2022
SU02K,16,2010,2019
SU62F,15,2012,2021
SU62K,62,2012,2021
TL28E,5,2014,2019
TL28G,5,2014,2019
TF48Y,8,2013,2022
TL28H,5,2014,2019
TF49Q,14,2013,2022
TQ50K,18,2014,2018
NU14G,22,2012,2017
SD21V,37,2012,2021
TG31Y,2,2018,2018
TF48Z,9,2013,2022
SS43M,8,2015,2019
SS43R,6,2015,2019
SJ81G,5,2014,2022
SD17W,1,2020,2020
SJ81L,8,2014,2022
TG41D,7,2018,2018
NU14B,7,2012,2017
NU04W,9,2012,2017
SK17S,13,2012,2021
SD17Q,3,2015,2020
SD20Z,5,2012,2021
SK17R,4,2012,2021
SD77T,4,2018,2022
SU01J,3,2010,2019
TL18V,1,2017,2017
SS43N,1,2019,2019
TL66P,3,2013,2018
SD77U,1,2022,2022
SK17D,1,2016,2016
SD31A,1,2012,2012
SU01U,1,2019,2019
