gr,recn,yearStart,yearEnd
TF62U,39,2013,2022
NY25T,11,2012,2021
NY69X,6,2013,2022
SD38G,3,2015,2018
SJ43Y,6,2012,2021
SK09W,3,2014,2018
SU40K,2,2011,2015
SJ43X,38,2012,2021
SO39U,5,2010,2018
SE89Y,2,2015,2019
SJ43S,35,2012,2021
SD86Y,22,2013,2022
NY11K,5,2015,2019
SD38K,6,2015,2018
SU96S,3,2021,2021
SU96R,4,2012,2021
TG41E,1,2013,2013
NT60R,4,2018,2022
SE89S,4,2015,2019
SU94A,4,2019,2019
NY63S,4,2015,2019
NY79D,2,2018,2022
SK09V,2,2014,2018
TF62Z,2,2018,2022
SU98M,2,2021,2021
SE89T,6,2015,2019
NT60V,3,2013,2022
NY10P,1,2015,2015
NY69J,2,2018,2022
NY63X,3,2015,2019
SD17R,2,2015,2020
NT60F,2,2018,2022
SD77N,2,2018,2022
NY63W,2,2015,2019
SX77U,1,2017,2017
SD38L,1,2018,2018
SD77W,1,2018,2018
SD77T,2,2018,2022
